sno,sna,sarea,ar,tot
1001,大鵬華城,新店區,新北市新店區中正路700巷3號,38
1002,汐止火車站,汐止區,南昌街/新昌路口(西側廣場),56
1003,汐止區公所,汐止區,新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場),46
1004,國泰綜合醫院,汐止區,建成路78號對面停車場,56
1005,裕隆公園,新店區,寶中路/品牌路口(東南側),40
1006,捷運大坪林站(3號出口),新店區,寶安街/寶安街58巷(西北側),32
1007,汐科火車站(北),汐止區,大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前),34
1008,興華公園,三重區,重陽路一段120巷/中華路2巷,40
1009,三重國民運動中心,三重區,集美街/重新路四段184巷,68
1010,捷運三重站(3號出口),三重區,捷運路/捷運路37巷,34
1011,樟樹國小,汐止區,樟樹二路/樟樹一路141巷,48
1012,金龍國小,汐止區,中興路/民族六街,52
1013,白雲國小,汐止區,民權街二段90號,46
1014,東勢宜興活動中心,汐止區,東勢街/芳園街,52
1015,後港公園,新莊區,建安街/建安街57巷,40
1016,福營行政中心,新莊區,四維路17號-20號,42
1017,西盛公園,新莊區,新莊區西盛街/西盛街201巷,36
